2020-10-06 15:33:44,236 [MainThread:8840] [D:\projects\Jarvis\release\backend\venv\lib\site-packages\django\utils\autoreload.py:run_with_reloader:613] [INFO]- Watching for file changes with StatReloader
2020-10-06 15:33:44,252 [MainThread:8840] [D:\projects\Jarvis\release\backend\venv\lib\site-packages\django\utils\autoreload.py:run:300] [DEBUG]- Waiting for apps ready_event.
2020-10-06 15:33:44,376 [MainThread:8840] [D:\projects\Jarvis\release\backend\venv\lib\site-packages\django\utils\autoreload.py:wait_for_apps_ready:296] [DEBUG]- Main Django thread has terminated before apps are ready.
2020-10-06 15:33:44,376 [MainThread:8840] [D:\projects\Jarvis\release\backend\venv\lib\site-packages\django\utils\autoreload.py:run:312] [DEBUG]- Apps ready_event triggered. Sending autoreload_started signal.
2020-10-06 16:02:39,968 [MainThread:14456] [D:\projects\Jarvis\release\backend\venv\lib\site-packages\django\db\backends\utils.py:debug_sql:123] [DEBUG]- (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2020-10-06 16:02:39,969 [MainThread:14456] [D:\projects\Jarvis\release\backend\venv\lib\site-packages\django\db\backends\utils.py:debug_sql:123] [DEBUG]- (0.015) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
2020-10-06 16:02:39,971 [MainThread:14456] [D:\projects\Jarvis\release\backend\venv\lib\site-packages\django\db\backends\utils.py:debug_sql:123] [DEBUG]- (0.000) SHOW FULL TABLES; args=None
2020-10-06 16:13:08,461 [MainThread:12132] [D:\projects\Jarvis\release\backend\venv\lib\site-packages\django\db\backends\utils.py:debug_sql:123] [DEBUG]- (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2020-10-06 16:13:08,462 [MainThread:12132] [D:\projects\Jarvis\release\backend\venv\lib\site-packages\django\db\backends\utils.py:debug_sql:123] [DEBUG]- (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
2020-10-06 16:13:08,462 [MainThread:12132] [D:\projects\Jarvis\release\backend\venv\lib\site-packages\django\db\backends\utils.py:debug_sql:123] [DEBUG]- (0.000) SHOW FULL TABLES; args=None
2020-10-06 16:13:20,414 [MainThread:3252] [D:\projects\Jarvis\release\backend\venv\lib\site-packages\django\db\backends\utils.py:debug_sql:123] [DEBUG]- (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2020-10-06 16:13:20,415 [MainThread:3252] [D:\projects\Jarvis\release\backend\venv\lib\site-packages\django\db\backends\utils.py:debug_sql:123] [DEBUG]- (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
2020-10-06 16:13:20,416 [MainThread:3252] [D:\projects\Jarvis\release\backend\venv\lib\site-packages\django\db\backends\utils.py:debug_sql:123] [DEBUG]- (0.000) SELECT @@sql_mode; args=None
2020-10-06 16:13:20,418 [MainThread:3252] [D:\projects\Jarvis\release\backend\venv\lib\site-packages\django\db\backends\utils.py:debug_sql:123] [DEBUG]- (0.000) SELECT VERSION(); args=None
2020-10-06 16:13:20,445 [MainThread:3252] [D:\projects\Jarvis\release\backend\venv\lib\site-packages\django\db\backends\utils.py:debug_sql:123] [DEBUG]- (0.000) SHOW FULL TABLES; args=None
